Request,Execution Time (s),CPU (%),Memory (%),Requests/s
1,0.197850,0.0,26.6,5.021856
2,0.006027,0.0,26.6,9.733574
3,0.042644,82.4,26.6,12.095255
4,0.010870,65.0,26.7,15.432746
5,0.007754,16.7,26.7,18.673469
6,0.004920,0.0,26.7,21.984646
7,0.004321,25.0,26.7,25.224930
8,0.004347,0.0,26.7,28.355866
9,0.141317,94.8,26.7,21.236277
10,0.031086,73.8,26.7,21.963686
11,0.005074,44.4,26.7,23.878067
12,0.004292,0.0,26.7,25.794144
13,0.008394,44.4,26.7,27.429183
14,0.020835,76.9,26.8,28.270090
15,0.031003,77.3,26.8,28.517419
16,0.012578,69.6,26.8,29.664667
17,0.008951,57.1,26.8,30.981859
18,0.008799,14.3,26.8,32.260871
19,0.005453,0.0,26.8,33.701840
20,0.009655,72.2,26.8,34.865631
21,0.008782,63.6,26.7,36.028911
22,0.011158,62.5,26.7,37.000319
23,0.038908,77.0,26.9,36.280014
24,0.015952,74.1,27.0,36.908234
25,0.050057,78.5,27.2,35.682138
26,0.035073,74.6,27.4,35.316520
27,0.008263,41.7,27.4,36.254901
28,0.010835,70.6,27.5,37.054131
29,0.020000,65.2,27.5,37.367516
30,0.009410,50.0,27.6,38.165970
31,0.014728,73.1,27.6,38.730311
32,0.007474,36.4,27.6,39.593675
33,0.041834,88.9,27.6,38.788044
34,0.060191,93.1,27.7,37.329098
35,0.006921,50.0,27.7,38.105481
36,0.004750,0.0,27.7,38.979464
37,0.004332,37.5,27.7,39.862999
38,0.004358,0.0,27.7,40.736968
39,0.004527,16.7,27.7,41.593431
40,0.009840,14.3,27.7,42.201609
41,0.008167,0.0,27.7,42.856714
42,0.005884,42.9,27.6,43.626731
43,0.008451,72.7,27.6,44.266354
44,0.009906,58.8,27.6,44.822324
45,0.028271,77.6,27.7,44.542848
46,0.005164,0.0,27.7,45.308485
47,0.007817,25.0,27.7,45.904383
48,0.023339,76.3,27.7,45.820046
49,0.017912,30.0,27.7,45.974569
50,0.010123,11.1,27.7,46.458520
51,0.017611,70.8,27.7,46.630879
52,0.006691,71.4,27.7,47.216711
53,0.011643,62.5,27.7,47.611535
54,0.015236,74.1,27.7,47.831981
55,0.012612,68.2,27.7,48.171904
56,0.008145,71.4,27.7,48.680782
57,0.005226,0.0,27.7,49.320363
58,0.004874,25.0,27.7,49.957190
59,0.015644,64.0,27.7,50.155349
60,0.004714,44.4,27.7,50.763534
61,0.009011,68.2,27.7,51.205954
62,0.016325,66.7,27.7,51.326623
63,0.016898,66.7,27.7,51.441601
64,0.018103,65.4,27.7,51.460903
65,0.009506,65.2,27.7,51.856287
66,0.007492,72.7,27.7,52.327000
67,0.012901,68.2,27.7,52.566857
68,0.011313,60.0,27.7,52.889561
69,0.010428,14.3,27.7,53.196995
70,0.004371,25.0,27.7,53.781678
71,0.006714,76.2,27.7,54.254947
72,0.011002,75.0,27.7,54.543743
73,0.023688,76.2,27.7,54.314142
74,0.007849,50.0,27.7,54.720257
75,0.004931,14.3,27.7,55.245715
76,0.005213,0.0,27.7,55.756364
77,0.008310,76.2,27.7,56.134595
78,0.011892,68.4,27.7,56.359292
79,0.006700,72.7,27.7,56.791667
80,0.011393,63.6,27.7,57.032334
81,0.013975,69.6,27.7,57.158104
82,0.004703,37.5,27.7,57.666133
83,0.005122,14.3,27.7,58.145103
84,0.007175,0.0,27.7,58.535994
85,0.009325,62.5,27.7,58.830754
86,0.008970,58.3,27.7,59.139723
87,0.006606,75.0,27.7,59.541241
88,0.013701,69.6,27.7,59.647957
89,0.013530,70.8,27.8,59.769177
90,0.014006,62.5,27.8,59.865804
91,0.009903,30.0,27.8,60.141056
92,0.013149,66.7,27.8,60.248480
93,0.009731,28.6,27.8,60.519604
94,0.005132,37.5,27.8,60.937950
95,0.027844,68.2,27.9,60.474503
96,0.004385,0.0,27.9,60.937297
97,0.013490,72.7,27.9,61.035873
98,0.011993,66.7,27.9,61.190317
99,0.016493,47.4,28.2,61.171046
100,0.005249,0.0,28.2,61.577509
101,0.009479,68.7,28.2,61.817952
102,0.017375,77.1,28.2,61.757292
103,0.012269,60.9,28.2,61.908262
104,0.007006,53.8,28.2,62.212882
105,0.012813,69.6,28.2,62.317443
106,0.017031,50.0,28.2,62.288295
107,0.019503,78.0,28.1,62.127033
108,0.027330,81.8,28.1,61.709208
109,0.007052,0.0,28.1,62.039350
110,0.013644,66.7,28.1,62.086312
111,0.005346,0.0,28.1,62.448391
112,0.006137,20.0,28.1,62.782588
113,0.007543,63.2,28.1,63.058143
114,0.014614,68.2,28.1,63.110177
115,0.019574,63.0,28.1,62.941124
116,0.007455,30.0,28.1,63.220539
117,0.006419,30.0,28.1,63.527741
118,0.028561,72.3,28.1,63.099806
119,0.018842,58.3,28.1,62.984881
120,0.009383,57.9,28.1,63.160166
121,0.007504,10.0,28.1,63.445914
122,0.020649,58.1,28.1,63.247287
123,0.010754,60.0,28.1,63.400813
124,0.007031,0.0,28.1,63.670267
125,0.018962,61.5,28.1,63.549722
126,0.012426,35.7,28.1,63.633267
127,0.010978,66.7,28.1,63.774008
128,0.015507,66.7,28.1,63.758915
129,0.008048,25.0,28.1,64.011728
130,0.025740,60.0,28.1,63.660286
131,0.023612,72.1,28.1,63.403710
132,0.019057,64.3,28.2,63.289804
133,0.012828,65.0,28.2,63.387670
134,0.005964,0.0,28.2,63.652074
135,0.010981,22.2,28.2,63.779121
136,0.006238,20.0,28.2,64.071584
137,0.009336,55.6,28.2,64.227497
138,0.012416,69.6,28.2,64.308667
139,0.006650,27.3,28.1,64.563055
140,0.014112,52.9,28.1,64.590804
141,0.015381,66.7,28.1,64.581759
142,0.012617,63.6,28.1,64.652730
143,0.007133,12.5,28.1,64.884489
144,0.011362,52.9,28.1,64.990212
145,0.011372,12.5,28.1,65.095009
146,0.024819,58.6,28.0,64.806854
147,0.007180,57.9,28.0,65.033703
148,0.014690,61.9,28.0,65.040117
149,0.013200,61.9,28.0,65.090001
150,0.014195,69.6,28.0,65.097824
151,0.015308,75.0,28.0,65.089547
152,0.011675,60.0,28.0,65.186140
153,0.016915,81.1,28.0,65.129453
154,0.012074,64.0,28.0,65.194345
155,0.010799,37.5,28.0,65.319707
156,0.017674,75.0,28.0,65.219551
157,0.010856,55.6,28.0,65.338755
158,0.017411,75.0,28.0,65.269564
159,0.008371,63.6,28.0,65.440733
160,0.015428,57.7,27.9,65.446133
161,0.016368,57.1,28.0,65.388767
162,0.017614,80.0,28.0,65.304273
163,0.009633,69.6,27.9,65.445304
164,0.009080,68.2,27.9,65.597179
165,0.025174,73.8,28.0,65.324191
166,0.012776,46.7,28.0,65.379106
167,0.018916,65.4,28.0,65.275910
168,0.012683,28.6,28.0,65.322996
169,0.011207,66.7,28.0,65.422442
170,0.005622,63.2,28.0,65.657714
171,0.011077,68.2,28.0,65.749554
172,0.018631,65.4,28.0,65.671059
173,0.013706,66.7,28.0,65.682344
174,0.022672,80.6,28.0,65.484652
175,0.016277,68.0,28.0,65.467586
176,0.007633,59.1,28.0,65.628033
177,0.026847,78.3,28.0,65.325158
178,0.020194,76.9,28.0,65.193425
179,0.006952,0.0,28.0,65.386984
180,0.005999,27.3,28.0,65.599179
181,0.021309,69.7,28.0,65.438701
182,0.007402,22.2,28.0,65.616573
183,0.021476,74.4,28.0,65.461004
184,0.024173,61.8,28.0,65.245222
185,0.008538,61.9,28.0,65.391586
186,0.008733,12.5,28.0,65.532262
187,0.010817,52.9,28.0,65.624688
188,0.006103,0.0,28.0,65.826876
189,0.017678,69.2,28.0,65.768588
190,0.012502,35.7,28.0,65.823306
191,0.006258,40.0,28.0,66.004168
192,0.009653,63.2,28.0,66.119035
193,0.023746,75.6,28.0,65.913589
194,0.006827,0.0,28.0,66.089639
195,0.007588,12.5,28.0,66.264619
196,0.013295,63.6,28.0,66.296144
197,0.012465,69.2,28.0,66.330727
198,0.010119,72.7,28.0,66.428768
199,0.008019,10.0,28.0,66.577491
200,0.009138,30.0,28.0,66.693147
201,0.011179,57.7,28.0,66.775817
202,0.011067,66.7,28.0,66.850131
203,0.028913,74.5,27.9,66.536319
204,0.010227,66.7,27.9,66.631090
205,0.011148,65.2,27.9,66.702299
206,0.006143,63.2,27.9,66.886634
207,0.024554,58.8,27.9,66.671832
208,0.012880,35.7,27.9,66.706480
209,0.023725,73.7,28.0,66.514559
210,0.009326,52.9,28.0,66.625838
211,0.017157,76.9,28.0,66.583732
212,0.007567,0.0,28.0,66.717442
213,0.013004,73.9,28.0,66.746440
214,0.009170,68.2,28.0,66.858117
215,0.017592,69.2,28.0,66.808473
216,0.010948,63.6,28.1,66.861042
217,0.008126,65.0,28.2,67.009199
218,0.009175,18.2,28.0,67.105874
219,0.018694,62.5,28.0,67.032304
220,0.019501,55.6,28.0,66.929682
221,0.019898,66.7,28.0,66.804121
222,0.015249,20.0,28.0,66.793474
223,0.020025,62.1,27.9,66.683011
224,0.014672,57.1,27.9,66.671688
225,0.023114,79.5,27.9,66.508718
226,0.014580,64.0,27.9,66.508134
227,0.014345,66.7,27.9,66.515060
228,0.014226,68.2,27.9,66.503893
229,0.014985,76.9,27.9,66.499977
230,0.011612,57.1,27.9,66.557637
231,0.012291,20.0,27.9,66.602130
232,0.014834,64.0,27.9,66.597072
233,0.013316,50.0,27.9,66.617307
234,0.008596,30.0,27.9,66.733269
235,0.013679,60.0,27.9,66.751530
236,0.019214,80.0,27.9,66.663367
237,0.014620,65.2,28.0,66.662271
238,0.014216,70.8,28.0,66.668725
239,0.017900,65.2,28.0,66.607414
240,0.007654,0.0,28.0,66.735360
241,0.007706,12.5,28.0,66.863309
242,0.012566,42.9,28.0,66.897785
243,0.009605,30.0,28.0,66.988904
244,0.006685,11.1,28.0,67.134296
245,0.009371,50.0,28.0,67.228525
246,0.015203,59.1,28.0,67.208774
247,0.011609,60.0,28.0,67.262691
248,0.017147,78.9,28.0,67.213322
249,0.009128,61.9,28.0,67.310018
250,0.007742,0.0,28.0,67.418502
251,0.015133,75.0,28.0,67.412280
252,0.011400,61.9,28.0,67.467224
253,0.005862,14.3,28.0,67.622590
254,0.005985,22.2,27.9,67.769811
255,0.011263,68.2,27.9,67.827450
256,0.009857,65.0,27.9,67.907597
257,0.012497,65.2,27.9,67.941359
258,0.012225,68.2,27.9,67.978004
259,0.006378,11.1,27.9,68.119247
260,0.020709,66.7,27.9,68.015343
261,0.006104,61.1,27.9,68.148018
262,0.011500,57.9,27.9,68.198440
263,0.010988,69.6,27.9,68.255283
264,0.009727,61.9,27.9,68.335650
265,0.014624,59.1,27.9,68.329488
266,0.010117,52.9,27.9,68.400525
267,0.010838,57.9,27.9,68.459980
268,0.005327,0.0,27.9,68.617260
269,0.007753,20.0,27.9,68.728012
270,0.007740,66.7,27.9,68.840654
271,0.020835,74.4,27.9,68.722769
272,0.015107,74.1,27.9,68.706066
273,0.013171,62.5,27.9,68.722222
274,0.017822,75.7,27.9,68.670407
275,0.015654,53.6,27.9,68.631642
276,0.013793,66.7,27.9,68.639151
277,0.013747,68.2,27.9,68.646636
278,0.006718,22.2,27.9,68.772177
279,0.010411,65.2,27.9,68.833728
280,0.006004,38.5,27.9,68.973522
281,0.009054,68.4,27.9,69.058745
282,0.006417,0.0,27.9,69.189009
283,0.018975,64.3,27.9,69.102883
284,0.018306,45.0,27.9,69.030682
285,0.010326,53.3,27.9,69.093920
286,0.019570,67.7,27.9,69.001314
287,0.012332,27.3,27.9,69.029732
288,0.008820,12.5,27.9,69.114545
289,0.006785,20.0,27.9,69.237662
290,0.010040,66.7,27.9,69.303125
291,0.013126,62.5,27.9,69.312725
292,0.006317,0.0,27.9,69.442324
293,0.006335,41.7,27.9,69.566258
294,0.010406,65.2,27.9,69.625696
295,0.013050,58.3,27.9,69.640041
296,0.006110,40.0,27.9,69.762345
297,0.021242,65.9,27.9,69.658857
298,0.006708,41.7,27.9,69.766155
299,0.018732,61.8,27.9,69.686618
300,0.010955,66.7,27.9,69.735617
301,0.018760,78.9,27.9,69.655614
302,0.011458,58.3,27.9,69.693954
303,0.018211,69.4,27.9,69.624821
304,0.014088,56.5,27.9,69.635177
305,0.016953,56.5,27.9,69.572688
306,0.015192,50.0,27.9,69.555509
307,0.017224,66.7,27.9,69.503077
308,0.032302,71.2,27.9,69.218889
309,0.015121,66.7,27.9,69.201329
310,0.008729,12.5,27.9,69.283157
311,0.012831,33.3,27.9,69.300879
312,0.007545,10.0,27.9,69.401016
313,0.021548,40.0,27.9,69.282853
314,0.011354,65.2,27.9,69.324956
315,0.011360,56.2,27.9,69.364668
316,0.029875,77.8,27.9,69.122117
317,0.018426,77.1,27.9,69.053232
318,0.006473,0.0,27.9,69.170407
319,0.025485,66.7,28.0,68.999960
320,0.012159,46.7,28.0,69.028811
321,0.005383,12.5,28.0,69.158802
322,0.012777,68.2,28.0,69.177316
323,0.015286,74.1,28.0,69.154018
324,0.013495,68.2,28.0,69.166779
325,0.012169,55.6,28.0,69.189688
326,0.021937,75.0,28.0,69.077325
327,0.023684,72.1,28.0,68.937274
328,0.008468,61.9,28.0,69.018817
329,0.019719,60.7,28.0,68.933478
330,0.010198,63.6,28.0,68.990087
331,0.018533,73.2,28.0,68.928021
332,0.006238,22.2,28.0,69.040097
333,0.026561,70.7,28.0,68.861349
334,0.007091,38.5,28.0,68.959961
335,0.010897,61.9,28.0,69.004754
336,0.016396,67.9,28.0,68.971370
337,0.016135,83.3,28.0,68.938909
338,0.017120,66.7,28.0,68.897693
339,0.014285,72.0,28.0,68.893694
340,0.026073,64.4,28.0,68.727402
341,0.012360,68.0,28.0,68.749292
342,0.012670,64.0,28.0,68.771355
343,0.019804,69.2,28.0,68.692963
344,0.011751,40.0,28.0,68.725171
345,0.014486,66.7,28.0,68.721640
346,0.005939,0.0,28.0,68.832346
347,0.011096,66.7,28.0,68.861693
348,0.013855,66.7,28.0,68.881965
349,0.015855,59.1,27.9,68.849995
350,0.009396,70.0,27.9,68.905297
351,0.013982,66.7,27.9,68.908672
352,0.016160,70.3,27.9,68.881524
353,0.014973,66.7,27.9,68.871160
354,0.025907,74.4,27.9,68.713222
355,0.025502,62.1,27.9,68.562017
356,0.006841,0.0,27.9,68.659290
357,0.016243,74.1,27.9,68.631516
358,0.006289,12.5,27.9,68.736218
359,0.006073,0.0,27.9,68.839842
360,0.015042,66.7,27.9,68.827273
361,0.014659,55.6,27.9,68.820111
362,0.012081,27.3,27.9,68.845680
363,0.010741,65.0,27.9,68.889871
364,0.014766,64.0,27.9,68.879028
365,0.018703,60.0,27.9,68.819906
366,0.030093,67.8,27.9,68.619167
367,0.012320,40.0,27.9,68.630405
368,0.019264,64.3,27.9,68.566261
369,0.021263,67.7,27.9,68.474488
370,0.009564,50.0,27.9,68.534697
371,0.018888,62.5,27.9,68.475859
372,0.010751,35.7,27.9,68.515341
373,0.018340,62.1,27.9,68.472253
374,0.014937,52.9,27.9,68.454708
375,0.011726,66.7,27.9,68.484083
376,0.016516,64.3,27.9,68.456686
377,0.006907,71.4,27.9,68.543517
378,0.016552,57.1,27.9,68.523402
379,0.019680,72.4,27.9,68.455637
380,0.007077,33.3,27.9,68.535431
381,0.007592,53.3,27.9,68.624202
382,0.015665,70.0,27.9,68.597829
383,0.005749,0.0,27.9,68.702786
384,0.014445,73.3,27.9,68.705889
385,0.008457,25.0,27.9,68.766745
386,0.007639,0.0,27.9,68.846478
387,0.012819,72.0,27.9,68.861775
388,0.022429,66.7,27.9,68.760049
389,0.016930,64.1,27.9,68.726823
390,0.010214,68.2,27.9,68.774010
391,0.010510,66.7,27.9,68.816689
392,0.012998,40.0,27.9,68.838699
393,0.012248,25.0,27.9,68.852589
394,0.005770,0.0,27.9,68.954481
395,0.005623,66.7,27.9,69.056378
396,0.006851,0.0,27.9,69.143464
397,0.006088,36.4,27.9,69.240474
398,0.026779,72.5,27.9,69.093490
399,0.012683,65.2,27.9,69.102696
400,0.009611,63.6,27.9,69.155279
401,0.014427,69.2,27.9,69.157334
402,0.017800,59.3,27.9,69.105489
403,0.012291,75.0,27.9,69.126479
404,0.017260,50.0,27.9,69.088218
405,0.023278,67.7,27.9,68.979036
406,0.006516,11.1,27.9,69.069336
407,0.006608,0.0,27.9,69.164225
408,0.010831,22.2,27.9,69.194839
409,0.007423,25.0,27.9,69.277795
410,0.006217,27.3,27.9,69.361688
411,0.009410,63.6,27.9,69.416611
412,0.028029,70.2,27.9,69.251708
413,0.006230,0.0,27.9,69.343441
414,0.006170,22.2,27.9,69.433850
415,0.006755,55.6,27.9,69.516314
416,0.013522,63.6,27.9,69.521506
417,0.007166,25.0,27.9,69.597550
418,0.013965,69.6,27.9,69.600782
419,0.009440,22.2,27.9,69.650813
420,0.005762,14.3,27.9,69.746540
421,0.014429,43.8,27.9,69.747467
422,0.012199,69.0,27.9,69.766339
423,0.010865,69.6,27.9,69.801739
424,0.010093,66.7,27.9,69.838234
425,0.021621,72.7,27.9,69.757097
426,0.008770,65.0,27.9,69.808536
427,0.005985,27.3,27.9,69.906941
428,0.016902,68.2,27.9,69.865104
429,0.014434,58.3,27.9,69.856843
430,0.009593,60.9,27.9,69.907939
431,0.012193,62.5,27.9,69.934284
432,0.011485,61.9,27.9,69.954567
433,0.014481,75.0,27.9,69.941095
434,0.007354,14.3,27.9,70.012225
435,0.018949,58.3,27.9,69.958841
436,0.018268,57.1,27.9,69.907865
437,0.007621,27.3,27.9,69.976423
438,0.012583,16.7,27.9,69.992757
439,0.022176,64.9,27.9,69.900895
440,0.017566,58.6,27.9,69.866643
441,0.011262,68.2,27.9,69.888479
442,0.016263,66.7,27.9,69.860916
443,0.024011,70.7,27.9,69.745939
444,0.010114,60.0,27.9,69.796010
445,0.016858,61.5,27.9,69.756832
446,0.010089,57.1,27.9,69.798436
447,0.020721,77.5,27.9,69.731274
448,0.026195,62.8,27.9,69.590390
449,0.013252,66.7,27.9,69.597669
450,0.012678,65.2,27.9,69.609913
451,0.012489,27.3,27.9,69.620941
452,0.015411,61.5,27.9,69.608601
453,0.012014,55.0,27.9,69.628655
454,0.009891,27.3,27.9,69.672189
455,0.015073,70.8,27.9,69.658394
456,0.013502,68.2,27.9,69.665033
457,0.012579,42.9,27.9,69.679077
458,0.009129,12.5,27.9,69.729464
459,0.006905,0.0,27.9,69.805291
460,0.023709,65.6,27.9,69.697786
461,0.012062,66.7,28.0,69.719008
462,0.013657,63.6,28.0,69.721888
463,0.010696,22.2,28.0,69.754637
464,0.019016,61.5,28.0,69.700706
465,0.007792,36.4,28.0,69.766222
466,0.013193,30.8,28.0,69.768073
467,0.013671,64.0,28.0,69.772842
468,0.015598,74.3,28.0,69.752520
469,0.013210,66.7,27.9,69.769289
470,0.007448,63.6,27.9,69.829779
471,0.013149,66.7,27.9,69.838063
472,0.019523,69.7,27.9,69.779685
473,0.010254,35.7,27.9,69.816880
474,0.009345,18.2,27.9,69.871084
475,0.011667,42.9,27.9,69.885050
476,0.029975,74.5,27.9,69.727946
477,0.018724,65.4,27.9,69.671419
478,0.014316,60.0,27.9,69.668255
479,0.012051,66.7,27.9,69.687459
480,0.030036,74.5,27.9,69.520574
481,0.007986,50.0,27.9,69.581217
482,0.015811,58.3,28.0,69.557048
483,0.008408,11.1,28.0,69.616605
484,0.005604,0.0,28.0,69.699544
485,0.028021,62.5,28.0,69.565425
486,0.015678,59.1,28.0,69.540914
487,0.015543,41.7,28.0,69.524509
488,0.013865,30.0,28.0,69.532380
489,0.007123,0.0,28.0,69.593306
490,0.015283,69.6,28.0,69.579694
491,0.019118,78.0,28.0,69.535607
492,0.013602,66.7,28.0,69.532594
493,0.011952,33.3,28.0,69.552007
494,0.017807,53.6,28.0,69.513917
495,0.030189,70.5,28.0,69.355975
496,0.026828,73.8,28.0,69.238665
497,0.018399,72.4,28.0,69.189388
498,0.012600,65.2,28.0,69.203877
499,0.007458,33.3,28.0,69.264706
500,0.023966,62.9,28.0,69.169486
501,0.014580,66.7,28.0,69.164207
502,0.006266,68.2,28.0,69.237991
503,0.006408,0.0,28.0,69.310318
504,0.021878,69.4,28.0,69.234388
505,0.014844,56.5,28.0,69.225050
