Request,Execution Time (s),CPU (%),Memory (%),Requests/s
1,0.011018,0.0,24.5,74.418552
2,0.013208,72.7,24.5,73.954051
3,0.004398,0.0,24.5,93.397702
4,0.028590,70.7,24.5,65.317086
5,0.004379,22.2,24.5,76.802156
6,0.006577,10.0,24.5,82.407686
7,0.004065,0.0,24.5,91.422707
8,0.008754,60.9,24.5,92.717670
9,0.004782,0.0,24.5,98.194043
10,0.006303,20.0,24.5,101.615063
11,0.009255,52.9,24.5,102.079642
12,0.011217,59.1,24.5,99.803984
13,0.004883,30.0,24.5,103.877159
14,0.004278,0.0,24.5,107.821339
15,0.005792,14.3,24.5,110.220565
16,0.006284,11.1,24.5,111.806366
17,0.004039,0.0,24.5,115.574407
18,0.009751,63.2,24.5,114.236582
19,0.014071,31.3,24.5,109.658628
20,0.018020,60.0,24.5,104.977143
21,0.014674,66.7,24.5,102.145515
22,0.021506,68.3,24.5,96.886586
23,0.008674,61.9,24.5,97.005725
24,0.015237,64.0,24.5,95.030191
25,0.004891,0.0,24.5,96.884312
26,0.023622,42.3,24.5,92.103093
27,0.014053,64.0,24.5,90.719256
28,0.006105,35.7,24.5,92.157115
29,0.022645,63.6,24.5,88.860036
30,0.010836,56.5,24.6,88.797280
31,0.005047,33.3,24.6,90.051094
32,0.009989,56.5,24.6,90.171726
33,0.005225,0.0,24.6,91.738811
34,0.005067,12.5,24.6,92.916891
35,0.004988,0.0,24.6,94.172396
36,0.010154,25.0,24.6,94.187821
37,0.005169,11.1,24.6,95.281138
38,0.005077,42.9,24.6,96.530568
39,0.021099,63.0,24.6,93.920983
40,0.004677,0.0,24.6,95.344376
41,0.014323,50.0,24.6,94.406149
42,0.007580,10.0,24.6,94.814335
43,0.010571,42.9,24.6,94.687104
44,0.009442,47.4,24.6,94.975115
45,0.011670,64.0,24.6,94.607839
46,0.018499,76.3,24.7,92.841132
47,0.014075,59.1,24.8,92.043182
48,0.006487,50.0,24.8,92.865004
49,0.084585,15.1,24.9,81.335434
50,0.015031,60.0,24.9,80.968119
51,0.023548,65.5,25.0,79.463160
52,0.014237,76.7,25.0,79.186369
53,0.006668,71.4,25.0,79.885648
54,0.006675,0.0,25.1,80.516180
55,0.021987,62.5,25.1,79.278691
56,0.005901,0.0,25.1,79.987735
57,0.042224,67.2,25.2,76.848954
58,0.016733,55.6,25.2,76.194913
59,0.025811,68.3,25.2,75.062952
60,0.008012,25.0,25.2,75.448431
61,0.007540,18.2,25.3,75.895683
62,0.006670,0.0,25.3,76.574883
63,0.024889,73.2,25.3,75.433655
64,0.009637,43.8,25.3,75.688986
65,0.020065,71.8,25.3,74.978929
66,0.011690,47.8,25.4,75.053652
67,0.014596,56.0,25.4,74.949684
68,0.029154,59.0,25.4,73.611667
69,0.009002,9.1,25.4,73.934383
70,0.016687,56.0,25.4,73.718693
71,0.013389,21.4,25.4,73.620682
72,0.012979,56.0,25.4,73.655567
73,0.004820,12.5,25.4,74.252068
74,0.006688,0.0,25.4,74.762598
75,0.005425,41.7,25.4,75.338424
76,0.014560,35.3,25.4,75.104824
