Request,Execution Time (s),CPU (%),Memory (%),Requests/s
1,0.007567,0.0,33.7,109.349115
2,0.002510,0.0,33.7,166.061724
3,0.003158,42.9,33.7,195.195880
4,0.002287,0.0,33.7,224.072655
5,0.002162,0.0,33.7,247.603485
6,0.002208,0.0,33.7,264.230319
7,0.002401,20.0,33.7,280.807682
8,0.002035,0.0,33.7,290.303433
9,0.002057,0.0,33.7,302.456881
10,0.002012,0.0,33.7,313.014769
11,0.001768,0.0,33.7,323.850377
12,0.001874,40.0,33.7,333.832870
13,0.001792,0.0,33.7,342.641748
14,0.002355,0.0,33.7,344.744062
15,0.002295,0.0,33.7,347.703752
16,0.002549,62.5,33.7,348.756978
17,0.002110,0.0,33.7,353.041908
18,0.002011,0.0,33.7,357.289769
19,0.001918,0.0,33.7,362.273219
20,0.002407,72.7,33.7,365.160279
21,0.002399,0.0,33.7,361.855710
22,0.002404,0.0,33.7,363.777416
23,0.002021,0.0,33.7,366.866418
24,0.001998,50.0,33.7,370.193166
25,0.001942,0.0,33.7,373.488346
26,0.001946,0.0,33.7,376.524038
27,0.001945,0.0,33.7,378.855027
28,0.006646,76.2,33.7,357.318275
29,0.002766,0.0,33.7,358.075940
30,0.002213,0.0,33.7,358.125315
31,0.001909,50.0,33.7,361.212299
32,0.001750,0.0,33.7,363.749453
33,0.002968,0.0,33.7,361.778289
34,0.004092,68.8,33.7,356.022748
35,0.002284,0.0,33.7,357.353067
36,0.002251,0.0,33.7,359.439028
37,0.002103,0.0,33.7,361.263971
38,0.002137,25.0,33.7,361.077436
39,0.002628,0.0,33.7,360.804323
40,0.002081,0.0,33.7,362.402710
41,0.002127,0.0,33.7,363.493994
42,0.001921,50.0,33.7,365.676024
43,0.001960,0.0,33.7,366.984851
44,0.001894,0.0,33.7,368.671094
45,0.002735,0.0,33.7,367.763688
46,0.002577,42.9,33.7,367.584941
47,0.002082,0.0,33.7,368.963288
48,0.001986,0.0,33.7,370.542695
49,0.001960,0.0,33.7,372.112836
50,0.002361,25.0,33.7,372.383472
51,0.002128,0.0,33.7,373.168484
52,0.002353,0.0,33.7,372.940498
53,0.002317,0.0,33.7,373.565696
54,0.002206,25.0,33.7,374.402285
55,0.001925,0.0,33.7,375.840427
56,0.001847,0.0,33.7,377.476575
57,0.001805,0.0,33.7,378.910868
58,0.002320,0.0,33.7,379.191630
59,0.002096,42.9,33.7,379.760257
60,0.002400,0.0,33.7,380.732150
61,0.002421,0.0,33.7,379.638103
62,0.002106,0.0,33.7,380.556549
63,0.002230,25.0,33.7,380.862893
64,0.002347,0.0,33.7,380.748711
65,0.002484,0.0,33.7,380.719434
66,0.002669,0.0,33.7,379.729143
67,0.002602,20.0,33.7,378.926035
68,0.002483,0.0,33.7,379.305965
69,0.002231,0.0,33.7,379.278047
70,0.002702,20.0,33.7,378.948912
71,0.002231,0.0,33.7,379.408664
72,0.002761,0.0,33.7,378.525466
73,0.002377,0.0,33.7,378.801125
74,0.001966,40.0,33.7,379.764045
75,0.001887,0.0,33.7,380.815689
