Request,Execution Time (s),CPU (%),Memory (%),Requests/s
1,0.007211,0.0,26.0,117.369152
2,0.002106,0.0,26.0,183.021512
3,0.002968,16.7,26.0,211.683860
4,0.003028,0.0,26.0,228.597340
5,0.002269,0.0,26.0,248.365902
6,0.002394,42.9,26.0,264.424663
7,0.002030,0.0,26.0,280.923215
8,0.001824,0.0,26.0,297.761379
9,0.001732,0.0,26.0,312.870264
10,0.002180,20.0,26.0,319.697552
11,0.002165,0.0,26.0,326.005978
12,0.003994,0.0,26.0,315.473872
13,0.002213,0.0,26.0,321.935844
14,0.001989,25.0,26.0,329.142037
15,0.001919,0.0,26.0,336.191601
16,0.002232,0.0,26.0,339.296944
17,0.001923,0.0,26.0,345.561539
18,0.002252,50.0,26.0,350.152690
19,0.002094,0.0,26.0,352.079454
20,0.001920,0.0,26.0,356.887628
21,0.001777,0.0,26.0,362.074371
22,0.001729,0.0,26.0,367.101719
23,0.001963,50.0,26.0,369.824122
24,0.001981,0.0,26.0,373.135204
25,0.001826,0.0,26.0,376.609859
26,0.002192,0.0,26.0,378.073519
27,0.002040,33.3,26.0,380.305423
28,0.001986,0.0,26.0,382.872877
29,0.001883,0.0,26.0,387.409039
30,0.001878,0.0,26.0,387.736794
31,0.002106,0.0,26.0,389.299848
32,0.001892,25.0,26.0,391.715317
33,0.001855,0.0,26.0,393.776460
34,0.002353,0.0,26.0,393.644378
35,0.001961,0.0,26.0,395.465208
36,0.002166,0.0,26.0,396.064778
37,0.002293,25.0,26.0,395.400723
38,0.002275,0.0,26.0,395.969224
39,0.001923,0.0,26.0,397.766409
40,0.001948,0.0,26.0,400.458670
41,0.004320,16.7,26.0,390.194373
42,0.002465,0.0,26.0,388.515654
43,0.002986,0.0,26.0,387.455416
44,0.002212,33.3,26.0,388.261801
45,0.002138,0.0,26.0,389.224824
46,0.002253,0.0,26.0,389.224073
47,0.002032,0.0,26.0,390.328503
48,0.003976,20.0,26.0,384.676483
49,0.002709,0.0,26.0,383.844132
50,0.002024,0.0,26.0,385.121469
51,0.001975,25.0,26.0,386.459355
52,0.004628,0.0,26.0,379.208749
53,0.002442,0.0,26.0,379.209184
54,0.003567,20.0,26.0,376.158267
55,0.002125,0.0,26.0,377.159711
56,0.002454,0.0,26.0,376.286469
57,0.002874,33.3,26.0,375.551491
58,0.002037,0.0,26.0,376.467652
59,0.002586,0.0,26.0,376.162185
60,0.002051,0.0,26.0,377.172044
61,0.002166,0.0,26.0,377.826165
62,0.001853,0.0,26.0,379.270543
63,0.001785,0.0,26.0,380.840388
64,0.002188,0.0,26.0,381.047595
65,0.002672,0.0,26.0,379.833092
66,0.002909,16.7,26.0,379.077590
67,0.002231,0.0,26.0,379.512996
68,0.002571,0.0,26.0,379.921371
69,0.002340,40.0,26.0,379.250214
70,0.002587,0.0,26.0,378.390687
71,0.002894,0.0,26.0,377.632828
72,0.002167,0.0,26.0,378.154330
73,0.001957,25.0,26.0,379.276454
74,0.002009,0.0,26.0,380.162678
75,0.003704,0.0,26.0,377.419123
76,0.003659,73.3,26.0,374.988800
77,0.002107,0.0,26.0,375.855124
78,0.003042,0.0,26.0,374.674563
79,0.002015,0.0,26.0,375.509991
80,0.001934,40.0,26.0,376.598869
81,0.001883,0.0,26.0,377.581755
82,0.002110,0.0,26.0,377.888060
83,0.002173,0.0,26.0,378.474860
84,0.002171,40.0,26.0,378.959754
85,0.001957,0.0,26.0,379.824127
86,0.003074,0.0,26.0,378.580268
87,0.002097,0.0,26.0,379.204240
88,0.001987,50.0,26.0,379.870356
89,0.002251,0.0,26.0,380.060412
90,0.002173,0.0,26.0,380.487504
91,0.002001,0.0,26.0,381.265703
92,0.001806,0.0,26.0,382.242751
93,0.001864,50.0,26.0,383.155465
94,0.001804,0.0,26.0,384.140552
95,0.001763,0.0,26.0,385.014557
96,0.002171,0.0,26.0,385.268704
97,0.002684,16.7,26.0,384.718481
98,0.002172,0.0,26.0,385.113632
99,0.003384,0.0,26.0,383.499588
100,0.003650,76.5,26.0,381.390510
101,0.002959,0.0,26.0,380.481865
102,0.005868,76.2,26.0,375.422426
103,0.002414,0.0,26.0,375.579489
104,0.001999,0.0,26.0,376.313876
105,0.001852,0.0,26.0,377.157509
106,0.002374,25.0,26.0,377.140497
107,0.001959,0.0,26.0,377.867452
108,0.002238,0.0,26.0,378.105563
109,0.002142,0.0,26.0,378.480228
110,0.001997,0.0,26.0,379.045513
111,0.002151,20.0,26.0,379.435505
112,0.001843,0.0,26.0,380.154962
113,0.002071,0.0,26.0,380.645947
114,0.001844,0.0,26.0,381.424768
115,0.002389,25.0,26.0,381.307296
116,0.002200,0.0,26.0,381.584459
117,0.001997,0.0,26.0,382.222509
118,0.002138,0.0,26.0,382.356705
119,0.001997,0.0,26.0,382.789705
