Request,Execution Time (s),CPU (%),Memory (%),Requests/s
1,0.010941,0.0,25.9,80.620932
2,0.007480,50.0,25.9,97.340481
3,0.012226,17.6,25.9,92.229803
4,0.005516,0.0,25.9,102.633657
5,0.004316,25.0,25.9,114.877818
6,0.004124,0.0,25.9,124.871976
7,0.004987,36.4,25.9,130.445976
8,0.005093,0.0,25.9,135.791827
9,0.003810,45.5,25.9,142.948109
10,0.005228,0.0,25.9,145.667420
11,0.004966,14.3,25.9,148.849829
12,0.004023,0.0,25.9,153.416002
13,0.004676,33.3,25.9,155.924757
14,0.005280,0.0,25.9,157.354400
15,0.005016,45.5,25.9,159.055093
16,0.003818,0.0,25.9,162.556140
17,0.005162,12.5,25.9,163.314257
18,0.004709,0.0,25.9,164.730862
19,0.006743,20.0,25.9,163.154042
20,0.005346,46.2,25.9,163.892497
21,0.004589,0.0,25.9,165.403891
22,0.004004,14.3,25.9,167.497768
23,0.004021,0.0,25.9,169.365670
24,0.004872,63.2,25.9,170.257062
25,0.004608,0.0,25.9,171.279974
26,0.004816,53.8,25.9,172.049034
27,0.004893,0.0,25.9,172.699599
28,0.004065,53.8,25.9,174.151581
29,0.004668,0.0,25.9,174.916473
30,0.004971,60.0,25.9,175.239464
31,0.003879,0.0,25.9,176.663461
32,0.004061,14.3,25.9,177.958977
33,0.005164,0.0,25.9,177.758526
34,0.005132,53.3,25.9,177.988712
35,0.005649,0.0,25.9,177.711192
36,0.004332,25.0,25.9,178.517949
37,0.005410,0.0,25.9,178.371270
38,0.005463,14.3,25.9,178.134925
39,0.005455,0.0,25.9,177.790616
40,0.005122,36.4,25.9,177.922081
41,0.005461,30.0,25.9,177.796408
42,0.006428,0.0,25.9,177.114886
43,0.006602,33.3,25.9,175.781758
44,0.004405,0.0,25.9,176.290013
45,0.005852,11.1,25.9,175.928519
46,0.004519,25.0,25.9,176.376093
47,0.004648,0.0,25.9,176.821826
48,0.004951,66.7,25.9,177.011418
49,0.003928,0.0,25.9,177.930002
50,0.004622,25.0,25.9,178.539521
51,0.006292,0.0,25.9,177.447282
52,0.005427,12.5,25.9,177.219169
53,0.004385,0.0,25.9,177.742224
54,0.005367,12.5,25.9,177.588739
55,0.005307,12.5,25.9,177.900453
56,0.004976,0.0,25.9,177.550769
57,0.005406,68.4,25.9,177.475394
58,0.004912,0.0,25.9,177.675291
59,0.004989,50.0,25.9,177.760875
60,0.005406,0.0,25.9,177.682584
61,0.004508,22.2,25.9,178.120927
62,0.004888,0.0,25.9,178.183234
63,0.005935,20.0,25.9,177.788002
64,0.005201,14.3,25.9,177.937979
65,0.004638,0.0,25.9,178.189269
66,0.005869,56.2,25.9,177.867602
67,0.004452,0.0,25.9,178.259004
68,0.005101,70.0,25.9,178.234081
69,0.005391,0.0,25.9,178.102190
70,0.005602,12.5,25.9,178.072915
71,0.006426,11.1,25.9,177.330736
72,0.005268,0.0,25.9,177.485237
73,0.005634,68.4,25.9,177.513415
74,0.004713,0.0,25.9,177.491093
75,0.005388,30.0,25.9,177.411019
76,0.004282,0.0,25.9,177.744367
77,0.005280,22.2,25.9,177.754287
78,0.004791,0.0,25.9,177.917470
79,0.005503,22.2,25.9,177.776713
80,0.005451,12.5,25.9,177.726534
81,0.005552,0.0,25.9,177.853419
82,0.005763,42.9,25.9,177.422380
83,0.005167,0.0,25.9,177.450525
84,0.005847,12.5,25.9,177.216179
85,0.005907,20.0,25.9,176.959392
86,0.004867,0.0,25.9,177.314832
87,0.005444,56.2,25.9,177.261476
88,0.004287,0.0,25.9,177.410809
89,0.005655,53.3,25.9,177.165179
90,0.004951,0.0,25.9,177.362505
91,0.005080,12.5,25.9,177.436317
92,0.005232,0.0,25.9,177.392299
93,0.005568,11.1,25.9,177.292823
94,0.006384,62.5,25.9,176.902592
95,0.005826,0.0,25.9,176.682069
96,0.005484,11.1,25.9,176.657285
97,0.005688,0.0,25.9,176.455518
