Request,Execution Time (s),CPU (%),Memory (%),Requests/s
1,0.008029,0.0,25.7,108.058843
2,0.002988,0.0,25.7,159.978030
3,0.002920,28.6,25.7,191.380909
4,0.005086,0.0,25.7,188.442408
5,0.002754,0.0,25.7,207.050461
6,0.002450,33.3,25.7,224.194423
7,0.002412,0.0,25.7,238.011349
8,0.002814,0.0,25.7,245.978594
9,0.002413,33.3,25.7,257.000422
10,0.002603,0.0,25.7,263.888966
11,0.002649,0.0,25.7,269.880050
12,0.003086,0.0,25.7,271.584386
13,0.003105,28.6,25.7,273.480284
14,0.002653,0.0,25.7,277.956498
15,0.002330,0.0,25.7,283.891253
16,0.002395,33.3,25.7,288.559603
17,0.002398,0.0,25.7,292.543820
18,0.002685,0.0,25.7,294.807205
19,0.002896,0.0,25.7,294.591728
20,0.002721,33.3,25.7,297.037559
21,0.002652,0.0,25.7,299.264359
22,0.002504,0.0,25.7,302.051726
23,0.002718,33.3,25.7,303.081403
24,0.002618,0.0,25.7,304.880460
25,0.002873,0.0,25.7,305.368979
26,0.002727,42.9,25.7,306.533947
27,0.002542,0.0,25.7,308.384550
28,0.002594,0.0,25.7,311.085861
29,0.002565,0.0,25.7,312.621610
30,0.003088,20.0,25.7,311.401950
31,0.002909,0.0,25.7,310.566740
32,0.002819,0.0,25.7,311.213638
33,0.002963,44.4,25.7,310.894355
34,0.002901,0.0,25.7,311.040885
35,0.002697,0.0,25.7,311.478924
36,0.003034,28.6,25.7,311.822268
37,0.002568,0.0,25.7,312.526176
38,0.003016,0.0,25.7,312.395486
39,0.002841,33.3,25.7,312.937701
40,0.002439,0.0,25.7,314.404986
41,0.002863,0.0,25.7,314.386277
42,0.002713,0.0,25.7,315.040297
43,0.003078,50.0,25.7,314.612492
44,0.002594,0.0,25.7,315.536441
45,0.002481,0.0,25.7,316.687746
46,0.002366,33.3,25.7,317.987013
47,0.002774,0.0,25.7,318.031220
48,0.002858,0.0,25.7,318.066562
49,0.002659,0.0,25.7,318.775431
50,0.002417,20.0,25.7,319.918966
51,0.002386,0.0,25.7,321.029747
52,0.002313,0.0,25.7,322.215980
53,0.003047,28.6,25.7,321.508125
54,0.002985,0.0,25.7,320.973547
55,0.003116,0.0,25.7,320.613300
