Request,Execution Time (s),CPU (%),Memory (%),Requests/s
1,0.009139,0.0,25.8,90.087719
2,0.002596,0.0,25.8,144.163883
3,0.002975,0.0,25.8,174.561436
4,0.003039,33.3,25.8,195.887959
5,0.002957,0.0,25.8,209.610395
6,0.002576,0.0,25.8,225.740924
7,0.002301,42.9,25.8,240.534548
8,0.002671,0.0,25.8,248.861042
9,0.003045,0.0,25.8,253.029661
10,0.002873,0.0,25.8,258.822978
11,0.002438,20.0,25.8,267.187158
12,0.002262,0.0,25.8,274.899629
13,0.002215,0.0,25.8,281.605950
14,0.003195,28.6,25.8,280.129836
15,0.003270,0.0,25.8,281.872743
16,0.002676,0.0,25.8,284.796442
17,0.002568,20.0,25.8,288.175112
18,0.002566,0.0,25.8,291.021856
19,0.002763,0.0,25.8,292.625144
20,0.002701,0.0,25.8,294.477645
21,0.002673,33.3,25.8,296.799792
22,0.002418,0.0,25.8,299.527014
23,0.001985,0.0,25.8,304.651108
24,0.001997,0.0,25.8,309.004918
25,0.002681,42.9,25.8,309.215943
26,0.002756,0.0,25.8,310.331994
27,0.002560,0.0,25.8,312.043514
28,0.002266,20.0,25.8,314.599204
29,0.002374,0.0,25.8,316.791157
30,0.001855,0.0,25.8,320.646649
31,0.002314,0.0,25.8,321.684094
32,0.003103,42.9,25.8,320.850184
33,0.002672,0.0,25.8,321.743288
34,0.002206,0.0,25.8,323.876387
35,0.002203,0.0,25.8,325.991104
36,0.002480,25.0,25.8,326.633751
37,0.002617,0.0,25.8,327.139143
38,0.002917,0.0,25.8,326.738209
39,0.002508,33.3,25.8,327.325266
40,0.002383,0.0,25.8,328.813508
41,0.002001,0.0,25.8,331.119274
42,0.001966,0.0,25.8,333.198602
43,0.002075,0.0,25.8,335.167685
44,0.002195,33.3,25.8,336.620895
45,0.002209,0.0,25.8,337.995312
46,0.001941,0.0,25.8,340.083698
47,0.002111,0.0,25.8,341.785468
48,0.001992,50.0,25.8,343.557220
49,0.001882,0.0,25.8,345.308807
50,0.002174,0.0,25.8,346.386494
51,0.002273,0.0,25.8,347.175658
52,0.002854,42.9,25.8,346.676365
53,0.002277,0.0,25.8,347.392366
54,0.002071,0.0,25.8,349.028721
55,0.002191,0.0,25.8,350.059970
56,0.001975,25.0,25.8,351.581457
57,0.002743,0.0,25.8,351.265742
58,0.002254,0.0,25.8,351.889973
59,0.002736,0.0,25.8,351.765603
60,0.002101,20.0,25.8,353.016767
61,0.001776,0.0,25.8,354.782611
62,0.002398,0.0,25.8,354.769630
63,0.002967,0.0,25.8,353.723223
64,0.002766,33.3,25.8,354.289793
65,0.002493,0.0,25.8,353.823839
66,0.002195,0.0,25.8,354.754832
67,0.001949,0.0,25.8,355.887035
68,0.002440,42.9,25.8,356.243759
69,0.001932,0.0,25.8,357.582160
70,0.001762,0.0,25.8,359.118061
71,0.001812,0.0,25.8,360.478463
72,0.002270,25.0,25.8,361.702656
73,0.002055,0.0,25.8,362.602192
74,0.002177,0.0,25.8,362.258220
75,0.002945,0.0,25.8,361.742170
76,0.002309,25.0,25.8,362.257163
77,0.001730,0.0,25.8,363.810814
78,0.002017,0.0,25.8,364.551800
79,0.002078,0.0,25.8,365.401005
80,0.002261,20.0,25.8,365.605501
81,0.002493,0.0,25.8,365.890265
82,0.002103,0.0,25.8,366.480259
83,0.001950,0.0,25.8,367.604383
84,0.002218,0.0,25.8,368.004028
85,0.002655,33.3,25.8,367.609182
86,0.002315,0.0,25.8,368.076458
87,0.002314,0.0,25.8,368.292741
88,0.001927,0.0,25.8,369.147849
89,0.002018,25.0,25.8,370.006290
90,0.001812,0.0,25.8,371.101446
91,0.001954,0.0,25.8,371.894878
92,0.001796,0.0,25.8,372.827022
93,0.002605,16.7,25.8,372.578814
94,0.003633,0.0,25.8,370.476641
95,0.002744,0.0,25.9,370.123003
96,0.002404,42.9,25.9,370.355585
97,0.002202,0.0,25.9,370.724129
98,0.002746,0.0,26.0,370.738445
99,0.003581,33.3,25.8,368.073055
100,0.002878,16.7,25.8,367.926890
101,0.002094,0.0,25.8,368.497481
102,0.002755,0.0,25.9,368.128135
103,0.002229,50.0,25.9,368.524941
104,0.002968,0.0,25.9,367.557133
105,0.003139,0.0,25.8,366.744268
106,0.002352,25.0,25.8,366.971178
107,0.002763,0.0,25.8,366.673907
108,0.002345,0.0,25.8,366.894207
109,0.002237,0.0,25.8,367.241950
110,0.003084,28.6,25.8,366.272883
111,0.002683,0.0,25.8,366.158898
112,0.003122,0.0,25.8,365.180263
113,0.002290,57.1,25.8,365.693235
114,0.002080,0.0,25.8,366.248261
115,0.001984,0.0,25.8,366.696285
116,0.003095,0.0,25.8,365.913913
117,0.002269,42.9,25.8,366.312299
118,0.002033,0.0,25.8,366.907852
119,0.002393,0.0,25.8,366.914188
120,0.002382,0.0,25.8,367.120340
121,0.002398,40.0,25.8,367.142351
122,0.002923,0.0,25.8,366.673322
123,0.002372,0.0,25.8,366.767637
124,0.002255,0.0,25.8,367.154161
125,0.002107,25.0,25.8,367.617764
126,0.002053,0.0,25.8,368.170285
127,0.002093,0.0,25.8,368.515488
