Request,Execution Time (s),CPU (%),Memory (%),Requests/s
1,0.008052,0.0,33.7,106.776915
2,0.002258,0.0,33.7,168.880013
3,0.002398,0.0,33.7,201.940491
4,0.003107,37.5,33.7,222.279552
5,0.002347,0.0,33.7,243.517923
6,0.002410,0.0,33.7,258.755915
7,0.002373,0.0,33.7,272.407942
8,0.002249,40.0,33.7,284.340316
9,0.002674,0.0,33.7,289.373216
10,0.002392,0.0,33.7,297.065960
11,0.002011,0.0,33.7,307.176820
12,0.002464,33.3,33.7,310.865726
13,0.002211,0.0,33.7,317.171779
14,0.001987,0.0,33.7,324.627559
15,0.001973,0.0,33.7,331.148435
16,0.002077,40.0,33.7,336.178016
17,0.001865,0.0,33.7,342.568177
18,0.001905,0.0,33.7,348.111934
19,0.002371,0.0,33.7,349.321562
20,0.002314,0.0,33.7,351.511373
21,0.002171,20.0,33.7,354.578071
22,0.002186,0.0,33.7,356.844705
23,0.002218,0.0,33.7,359.017175
24,0.002330,0.0,33.7,360.370225
25,0.002304,50.0,33.7,361.971107
26,0.002493,0.0,33.7,361.689460
27,0.002759,0.0,33.7,360.708407
28,0.002487,33.3,33.7,359.493797
29,0.002749,0.0,33.7,359.346437
30,0.002149,0.0,33.7,361.501060
31,0.001778,0.0,33.7,364.953446
32,0.001783,25.0,33.7,368.027332
33,0.002381,0.0,33.7,368.533667
34,0.002275,0.0,33.7,369.384264
35,0.002243,0.0,33.7,370.520620
36,0.001913,0.0,33.7,371.899569
37,0.002217,57.1,33.7,373.719460
38,0.002368,0.0,33.7,374.445679
39,0.001792,0.0,33.7,376.925741
40,0.003032,0.0,33.7,372.650634
41,0.003820,25.0,33.8,369.138439
42,0.002561,0.0,33.8,368.899897
43,0.002574,0.0,33.8,368.705146
44,0.002556,57.1,33.9,368.255447
45,0.002961,0.0,33.7,366.648497
46,0.003443,0.0,33.7,363.522257
47,0.002466,33.3,33.7,364.047202
48,0.002436,0.0,33.7,363.957249
49,0.002212,0.0,33.7,364.959780
50,0.001967,0.0,33.7,366.300044
51,0.003252,37.5,33.7,363.720538
52,0.003456,0.0,33.7,360.923339
53,0.002626,0.0,33.7,360.532340
54,0.002732,42.9,33.7,359.954001
55,0.002633,0.0,33.7,359.615827
56,0.003286,0.0,33.7,357.055376
57,0.004204,37.5,33.7,353.699400
58,0.002794,0.0,33.7,353.604486
59,0.002186,0.0,33.7,354.624310
60,0.001882,25.0,33.7,356.304017
61,0.002789,0.0,33.7,355.249608
62,0.003512,0.0,33.7,354.275675
63,0.002723,33.3,33.7,353.300414
64,0.002008,0.0,33.7,354.596806
65,0.001918,0.0,33.7,356.026003
66,0.001915,0.0,33.7,357.404939
67,0.002226,20.0,33.7,358.575347
68,0.002809,0.0,33.7,357.365924
69,0.002216,0.0,33.7,358.067935
70,0.002150,0.0,33.7,358.987211
71,0.002104,50.0,33.7,359.863815
72,0.001958,0.0,33.7,361.033700
73,0.001962,0.0,33.7,361.817206
74,0.002641,0.0,33.7,361.720361
75,0.002503,20.0,33.7,361.839953
76,0.002390,0.0,33.7,362.126296
77,0.002051,0.0,33.7,363.059108
78,0.001905,0.0,33.7,364.224273
79,0.001844,0.0,33.7,365.444126
80,0.002670,42.9,33.7,364.784735
81,0.003004,0.0,33.7,363.969922
82,0.002261,0.0,33.7,364.548511
83,0.002201,42.9,33.7,365.194985
84,0.001868,0.0,33.7,366.245075
85,0.001875,0.0,33.7,367.316790
86,0.002389,0.0,33.7,367.268457
87,0.002208,0.0,33.7,367.803846
88,0.002672,20.0,33.7,367.775862
89,0.002649,0.0,33.7,367.163265
90,0.002213,0.0,33.7,367.714609
91,0.001821,0.0,33.7,369.303712
92,0.002763,37.5,33.7,368.252156
93,0.001921,0.0,33.7,369.207815
94,0.002017,0.0,33.7,369.844137
95,0.002774,20.0,33.7,369.205954
96,0.002282,0.0,33.7,369.515411
97,0.002159,0.0,33.7,370.174655
98,0.001956,0.0,33.7,370.854848
99,0.002065,0.0,33.7,371.361250
100,0.002290,50.0,33.7,371.818320
101,0.002132,0.0,33.7,372.153298
102,0.002644,0.0,33.7,371.942140
103,0.002003,0.0,33.7,372.576227
104,0.001937,50.0,33.7,373.442724
105,0.002270,0.0,33.7,373.598731
106,0.002098,0.0,33.7,374.170270
107,0.001813,0.0,33.7,375.056642
108,0.001956,40.0,33.7,376.112980
109,0.002417,0.0,33.7,375.633900
110,0.002144,0.0,33.7,376.028506
111,0.002121,0.0,33.7,376.334049
112,0.002723,42.9,33.7,376.056331
113,0.002001,0.0,33.7,376.725707
114,0.001930,0.0,33.7,377.441372
