Request,Execution Time (s),CPU (%),Memory (%),Requests/s
1,0.010418,0.0,21.8,79.993592
2,0.003409,0.0,21.8,123.507185
3,0.004827,0.0,21.8,140.218324
4,0.003052,16.7,21.8,165.188610
5,0.003447,0.0,21.8,176.021218
6,0.002622,0.0,21.8,191.475558
7,0.002918,33.3,21.8,202.750713
8,0.004336,0.0,21.8,202.646632
9,0.003720,14.3,21.8,208.736458
10,0.002397,0.0,21.8,218.956248
11,0.003111,0.0,21.8,224.178809
12,0.002642,42.9,21.8,230.423557
13,0.002785,0.0,21.8,235.824613
14,0.002479,0.0,21.8,242.559487
15,0.003029,0.0,21.8,245.963689
16,0.002276,57.1,21.8,252.034086
17,0.003765,0.0,21.8,250.783154
18,0.002778,0.0,21.8,254.782725
19,0.003066,16.7,21.8,256.909470
20,0.002362,0.0,21.8,262.432676
21,0.002643,0.0,21.8,264.188314
22,0.002444,20.0,21.8,267.791199
23,0.004001,0.0,21.8,266.145586
24,0.002849,0.0,21.8,268.205872
25,0.003579,28.6,21.8,268.148516
26,0.002047,0.0,21.8,271.960058
27,0.002734,0.0,21.8,273.595095
28,0.003354,37.5,21.8,273.473621
29,0.002640,0.0,21.8,275.784016
30,0.003223,0.0,21.8,276.150588
31,0.003716,44.4,21.8,275.292549
32,0.003448,0.0,21.8,275.346657
33,0.002348,0.0,21.8,277.598007
34,0.003468,44.4,21.8,277.354660
35,0.002891,0.0,21.8,278.662199
36,0.004094,0.0,21.8,276.350124
37,0.002611,42.9,21.8,278.039699
38,0.003752,0.0,21.8,277.088071
39,0.002422,0.0,21.8,279.079758
40,0.002770,50.0,21.8,280.049676
41,0.003937,0.0,21.8,279.805894
42,0.004525,14.3,21.8,276.629593
43,0.003451,0.0,21.8,276.554160
44,0.002696,0.0,21.8,277.687394
45,0.003393,37.5,21.8,277.902623
46,0.002146,0.0,21.8,279.971245
47,0.003036,0.0,21.8,280.499563
48,0.002337,0.0,21.8,282.236442
49,0.003441,28.6,21.8,281.697933
50,0.002640,0.0,21.8,283.063833
51,0.002357,0.0,21.8,284.624448
52,0.002164,20.0,21.8,286.342337
53,0.002222,0.0,21.8,287.842795
54,0.002560,0.0,21.8,288.838494
55,0.002481,0.0,21.8,289.347244
56,0.002877,20.0,21.8,290.407882
57,0.002318,0.0,21.8,291.776245
58,0.003001,0.0,21.8,292.156466
59,0.002728,20.0,21.8,292.741018
60,0.002555,0.0,21.8,293.612878
61,0.002697,0.0,21.8,294.168591
62,0.003603,0.0,21.8,293.585464
63,0.002274,40.0,21.8,294.988381
64,0.002048,0.0,21.8,296.547573
65,0.002244,0.0,21.8,297.668113
66,0.002681,0.0,21.8,298.082407
67,0.002764,20.0,21.8,298.773586
68,0.001981,0.0,21.8,300.360767
69,0.001906,0.0,21.8,301.975183
70,0.001921,0.0,21.8,303.560493
71,0.002009,25.0,21.8,304.980935
72,0.003904,0.0,21.8,303.605677
73,0.002695,0.0,21.8,304.210777
74,0.002221,20.0,21.8,305.333771
75,0.001916,0.0,21.8,306.796132
